run_num	key_true	key_false	trial_type	trial_num	hand	trial_dur	iti_dur	story	question	condition	answer	story_dur	question_dur	text_height	reward_value	reward_cue	reward_cue_dur	display_trial_feedback	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct	points_earned
1	4	3	1	0	left	15	0	Sophie tells her mother that her train  from Budapest is arriving at 8PM in  Vienna. Sophie confuses the platform numbers and boards the train  to Prague without realising her mistake.	"Sophie arrives at the station 
in Prague does not see her mother

True or False"	belief	True	10	4	0.9	3	3	1	True	0	15	183.0008276249282	0	183.00082874996588	2	2.561746916733682	False	0
1	4	3	1	1	left	15	0	An old photograph of the public library portrays a red-brick building with green ivy creeping up the side. Soon after the photograph was taken, the building was  demolished and the site was left derelict	"A photograph taken today shows
an empty site

True or False"	photo	True	10	4	0.9	1	1	1	True	15	30	198.0006522499025	0	198.00065341684967	3	2.4257901669479907	False	0
2	4	3	0	0	left	15	0	Expecting the game to be postponed because of the rain, the Garcia family took the subway home. The score was tied, 3-3. During their commute the rain stopped and the game soon ended with a score of 5-3.	"The Garcia family arrives home 
believing the score is 5-3.

True or False"	belief	False	10	4	0.9	3	3	1	True	0	15	113.00080033321863	0	113.0008014163468	4	2.8632074168417603	False	0
2	4	3	1	1	left	15	0	Accounts of the country's bustling economic  success were recorded in both fiction and non-fiction books from the early 1900s. Soon after, a horrible plague hit the country and  the country was sent into an economic depression.	"Early 1900s novels portray the
country as experiencing economic 
wealth.

True or False"	photo	True	10	4	0.9	1	1	1	True	15	30	128.00060274987482	0	128.00060379155912	4	2.9068922917358577	True	1
3	4	3	1	0	left	15	0	When Lisa left Jacob he was deep asleep on the beach. A few minutes later a wave woke him. Seeing Lisa was gone Jacob decided to go swimming.	"Lisa now believes that Jacob is sleeping.

True or False "	belief	True	10	4	0.9	1	1	1	True	0	15	78.00086820824072	0	78.00086924992502	4	2.389547624858096	True	1
3	4	3	1	1	left	15	0	At the time a portrait was drawn of a young man, he had short brown hair and no facial hair. Now the man's hair is long and gray and so is his beard.  	"Today the length of the man's hair
is long.

True or False "	photo	True	10	4	0.9	3	3	1	True	15	30	93.00068116676994	0	93.0006822082214	3	2.1050359166692942	False	0
7	4	3	0	0	left	15	0	John told Mary that he had lost his keys. The two of them searched the house with no luck. Then Mary went outside to look in the car. Suddenly John noticed his keys behind the sofa.	"By the time Mary comes in, John
doesn't know where his keys are.

True or False "	belief	False	10	4	0.9	3	3	1	True	0	15	8.000912291696295	0	8.00091337505728	4	3.297670291736722	False	0
7	4	3	1	1	left	15	0	A biography describes the room as it was in 1965. Originally the walls were covered in dark wallpaper. By 1965 the paper had been stripped and replaced with cream paint.	"The biography says that the room
was light.

True or False"	photo	True	10	4	0.9	1	1	1	True	15	30	23.00079004163854	0	23.000791124999523	4	2.3899562081787735	True	1
8	4	3	1	0	left	15	0	Susie parked her sportscar in the driveway. In the middle of the night Nathan moved her car into the garage to make room for his minivan. Susie woke up early in the morning.	"Susie sees the minivan in
the driveway.

True or False "	belief	True	10	4	0.9	1	1	1	True	0	15	8.00078700017184	0	8.000788083299994	3	2.446230041561648	False	0
8	4	3	0	1	left	15	0	The girl's middle school pictures showed her wearing a white blouse. Later, a red sock was accidentally washed with the blouse and the blouse turned pink.  	"Today the color of the blouse is white.

True or False "	photo	False	10	4	0.9	3	3	1	True	15	30	23.000614458462223	0	23.000615500146523	3	2.079358708579093	True	3
9	1	2	0	0	right	15	0	Annie tells Carl that she has to work late.  Instead, Annie arrives home before Carl to  surprise him for his birthday. Carl goes  out with his friends straight after work, arriving home late. 	"Annie knows that Carl
is out with his friends

True or False"	belief	False	10	4	0.9	1	1	1	True	0	15	8.00083712511696	0	8.000838125124574	2	2.393714416772127	True	1
9	1	2	1	1	right	15	0	The professor asked his graduate student to present her work at a conference.  The student is sick on the day of the conference and she asks a  colleague to present the work instead. 	"The professor's graduate student 
does not give the presentation

True or False"	photo	True	10	4	0.9	3	3	1	True	15	30	23.00071958336048	0	23.000720625044774	1	3.0354543335270137	True	3
10	1	2	1	0	right	15	0	Josh tells Adam that he will meet  him at the game later that day.  At the last minute, Josh is called into work and forgets to tell Adam.	"Adam cannot find Josh in the stadium

True or False "	belief	True	10	4	0.9	1	1	1	True	0	15	43.00079425005242	0	43.00079529173672	1	3.042772583430633	True	1
10	1	2	0	1	right	15	0	Kate places her keys on the kitchen table  and goes to her bedroom to take a nap.  Her boyfriend sees Kate's keys and places them in her bag where she usually keeps them	"Kate wakes from her nap and 
looks for her keys in her bag

True or False"	photo	False	10	4	0.9	3	3	1	True	15	30	58.00067279185168	0	58.000673833535984	2	1.9195986667182297	True	3
11	1	2	1	0	right	15	0	The morning of high school dance Sarah placed her high heel shoes under her dress and then went shopping. That afternoon, her sister borrowed the shoes and later put them under Sarah's bed.	"Sarah gets ready assuming her
shoes are under the dress.

True or False "	belief	True	10	4	0.9	1	1	1	True	0	15	43.00084345811047	0	43.000844499794766	1	2.0611864584498107	True	1
11	1	2	1	1	right	15	0	Sargent famously painted the south bank of the river in 1885. In 1910 a huge dam was built, flooding out the whole river basin,  killing the old forests. Now the whole area is under water.	"In the painting the south bank of
the river is wooded. 

True or False "	photo	True	10	4	0.9	3	3	1	True	15	30	58.000664999941364	0	58.00066608306952	1	2.251525833271444	True	3
